,demand_site,crop,proportion,crop_type,default_expression,time_series
97,Queen_Creek,Sorghum_silage,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_Sorghum.xlsx, A3:B12))*0.8102",0
98,Queen_Creek,VegFruit,0.001824824,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\queencre_VegFruit.xlsx, A3:B12))",0
99,Roosevelt_ID,Alfalfa_hay,0.143477634,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Alfalfa.xlsx, A3:B12))*0.760",0
100,Roosevelt_ID,Alfalfa_haylage,0.045308727,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Alfalfa.xlsx, A3:B12))*0.24",0
101,Roosevelt_ID,Corn_silage,0.161371467,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Corn.xlsx, A3:B12))*0.9553",0
102,Roosevelt_ID,Corn_grain,0.007550826,Corn,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Corn.xlsx, A3:B12))*0.0447",0
103,Roosevelt_ID,Barley,0.263011479,Barley,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Barley.xlsx, A3:B12))",0
104,Roosevelt_ID,Cotton,0.354766947,Cotton,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Cotton.xlsx, A3:B12))",0
105,Roosevelt_ID,Durum_Wheat,0.481411519,Durum,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Durum Wheat.xlsx, A3:B12))",0
106,Roosevelt_ID,Potatoes,0.011398176,Vegetables(potatoes),"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Potatoes.xlsx, A3:B12))",0
107,Roosevelt_ID,Sorghum_grain,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Sorghum.xlsx, A3:B12))*0.1898",0
108,Roosevelt_ID,Sugarbeets,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Sugarbeets.xlsx, A3:B12))",0
109,Roosevelt_ID,Winter_Wheat,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Winter Wheat.xlsx, A3:B12))",0
110,Roosevelt_ID,Other_Hay,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Other Hay.xlsx, A3:B12))",0
111,Roosevelt_ID,Sorghum_silage,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_Sorghum.xlsx, A3:B12))*0.8102",0
112,Roosevelt_ID,VegFruit,0.03217756,Remaining,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_id_VegFruit.xlsx, A3:B12))",0
113,Roosevelt_Water_Consertation,Alfalfa_hay,0.06844917,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_wc_Alfalfa.xlsx, A3:B12))*0.760",0
114,Roosevelt_Water_Consertation,Alfalfa_haylage,0.021615527,Alfalfa,"Interp( XLRange(D:\Project\Food_Energy_Water\Data_Used_WEAP\data\AREA_TIME_SERIES_STEP2\Percentage\roo_wc_Alfalfa.xlsx, A3:B12))*0.24",0
