,branch,variable,expression
87,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Little Harquahala,Final Energy Intensity Time Sliced,0.6129*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*143*0.000810714
88,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Hassayampa,Activity Level,100
89,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Hassayampa,Final Energy Intensity Time Sliced,0.6129*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*242*0.000810714
90,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Waddell,Activity Level,100
91,Demand\Industrial\Water infrastructure\Indian\CAP\Conveyance\Waddell,Final Energy Intensity Time Sliced,0.3871*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*242*0.000810714
92,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\White Tanks WTP,Activity Level,100
93,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\White Tanks WTP,Final Energy Intensity Time Sliced,0.0304*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*588.523*0.000810714
94,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Activity Level,100
95,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Lake Pleasant WTP,Final Energy Intensity Time Sliced,0.1743*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*568.685*0.000810714
96,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Activity Level,100
97,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Glendale Pyramid WTP,Final Energy Intensity Time Sliced,0.085*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*576.862*0.000810714
98,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Activity Level,100
99,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Phoenix Union Hills WTP,Final Energy Intensity Time Sliced,0.3486*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*560.795*0.000810714
100,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Activity Level,100
101,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Scottsdale WTP,Final Energy Intensity Time Sliced,0.1525*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*570.53*0.000810714
102,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Activity Level,100
103,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Mesa WTP,Final Energy Intensity Time Sliced,0.1569*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*570.21*0.000810714
104,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Activity Level,100
105,Demand\Industrial\Water infrastructure\Indian\CAP\Treatment and distribution\Chandler Gilbert Santan Vista WTP,Final Energy Intensity Time Sliced,0.0523*WEAPValue(Supply and Resources\Transmission Links\to Indian\from CAP Withdrawal:Flow[m^3])*582.388*0.000810714
106,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Activity Level,100
107,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Peoria Greenway WTP,Final Energy Intensity Time Sliced,0.0215*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
108,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Activity Level,100
109,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Cholla WTP,Final Energy Intensity Time Sliced,0.1226*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*589.692*0.000810714
110,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Activity Level,100
111,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix Deer Valley WTP,Final Energy Intensity Time Sliced,0.0598*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*568.834*0.000810714
112,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Activity Level,100
113,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Glendale Oasis WTP,Final Energy Intensity Time Sliced,0.1706*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*592.967*0.000810714
114,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Activity Level,100
115,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Phoenix 24th St WTP,Final Energy Intensity Time Sliced,0.1073*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*565.004*0.000810714
116,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Activity Level,100
117,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Scottsdale Chaparral WTP,Final Energy Intensity Time Sliced,0.1103*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*582.537*0.000810714
118,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Activity Level,100
119,Demand\Industrial\Water infrastructure\Indian\SRP\Treatment and distribution\Tempe Martinez WTP,Final Energy Intensity Time Sliced,0.0368*WEAPValue(Supply and Resources\Transmission Links\to Indian\from SRP Withdrawal:Flow[m^3])*576.723*0.000810714
